,YEAR,TEAM,CONF,G,WINS,LOSSES,W%,ADJOE,ADJDE,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB,SEED,FINISH,T_WINS,Corrected_Expected_Wins,Cinderella
25,2008,Texas A&M,B12,33.0,23.0,10.0,0.697,112.5,91.2,51.9,44.6,19.1,17.3,35.1,28.2,42.7,26.8,51.2,41.8,35.6,33.9,30.2,30.7,64.2,3.1,9.0,R32,1.0,0,1.0
26,2008,Wisconsin,B10,33.0,29.0,4.0,0.879,112.2,84.9,50.6,43.1,19.4,22.2,36.2,28.5,39.3,25.4,49.2,41.3,35.9,31.1,31.1,32.8,63.5,8.3,3.0,Sweet Sixteen,2.0,2,0.0
27,2008,Gonzaga,WCC,32.0,25.0,7.0,0.781,112.1,92.6,54.3,45.3,20.5,21.7,34.5,29.6,40.2,31.9,53.6,43.6,37.2,32.1,31.4,37.1,68.3,2.1,7.0,R64,0.0,1,-1.0
28,2008,Vanderbilt,SEC,33.0,26.0,7.0,0.788,111.6,97.2,54.4,49.3,19.7,20.4,30.8,33.7,38.9,31.5,50.6,48.0,40.4,34.7,38.3,33.3,70.5,3.8,4.0,R64,0.0,2,-2.0
29,2008,Stanford,P10,33.0,26.0,7.0,0.788,111.5,88.6,49.8,44.0,18.9,18.1,39.2,28.8,40.4,34.0,48.2,41.6,36.0,33.5,27.1,27.0,65.2,6.7,3.0,Sweet Sixteen,2.0,2,0.0
30,2008,UMBC,AE,31.0,23.0,8.0,0.742,111.3,108.3,52.2,50.6,13.4,17.5,32.1,33.5,33.8,28.4,49.3,48.7,38.8,36.1,32.4,35.4,66.1,-3.0,15.0,R64,0.0,0,0.0
31,2008,Davidson,SC,31.0,25.0,6.0,0.806,110.8,92.0,54.4,48.4,17.7,24.1,32.6,27.6,25.4,37.7,54.6,46.4,36.1,34.5,40.0,37.2,69.0,1.5,10.0,Elite Eight,3.0,0,3.0
32,2008,Miami FL,ACC,31.0,21.0,10.0,0.677,110.7,95.4,49.2,46.9,19.1,20.7,35.4,34.2,39.4,35.3,45.9,44.0,37.8,35.0,31.1,33.6,67.5,1.6,7.0,R32,1.0,1,0.0
33,2008,Temple,A10,33.0,21.0,12.0,0.636,110.6,98.8,54.5,49.0,19.1,19.3,28.5,32.3,35.3,31.7,53.6,46.2,37.2,35.9,39.4,37.5,65.5,-1.7,12.0,R64,0.0,0,0.0
34,2008,South Alabama,SB,30.0,24.0,6.0,0.8,110.5,98.2,54.0,47.9,20.6,20.5,37.9,30.5,45.7,31.2,53.2,47.2,37.0,32.6,33.5,37.1,66.6,-0.3,10.0,R64,0.0,0,0.0
35,2008,Louisville,BE,32.0,24.0,8.0,0.75,110.3,87.4,52.0,43.8,19.6,21.4,33.4,30.7,36.4,33.2,52.5,42.3,34.2,31.0,39.1,35.1,67.5,4.7,3.0,Elite Eight,3.0,2,1.0
36,2008,Cal St. Fullerton,BW,31.0,23.0,8.0,0.742,109.2,102.2,54.5,52.9,18.3,23.6,33.1,29.6,32.6,32.5,52.7,51.2,38.5,37.5,35.8,33.6,74.1,-3.2,14.0,R64,0.0,0,0.0
37,2008,George Mason,CAA,33.0,23.0,10.0,0.697,109.2,98.8,52.8,47.3,18.7,18.3,32.2,27.8,40.3,27.3,52.8,46.4,35.2,32.8,33.4,33.0,63.8,-3.6,12.0,R64,0.0,0,0.0
38,2008,Purdue,B10,32.0,24.0,8.0,0.75,108.7,90.2,49.0,48.9,19.4,26.6,32.8,31.0,37.6,42.4,45.3,47.2,37.0,35.0,36.1,31.4,68.2,3.8,6.0,R32,1.0,1,0.0
39,2008,Western Kentucky,SB,31.0,25.0,6.0,0.806,108.6,95.5,53.6,46.9,20.2,25.2,37.0,32.8,36.2,47.7,51.6,46.0,38.6,32.5,32.4,31.6,69.0,0.2,12.0,Sweet Sixteen,2.0,0,2.0
40,2008,UNLV,MWC,32.0,25.0,7.0,0.781,108.2,93.9,48.8,46.1,15.8,21.6,29.4,32.4,32.7,32.4,47.7,46.7,33.5,29.9,39.8,37.2,66.1,2.2,8.0,R32,1.0,1,0.0
41,2008,Saint Mary's,WCC,30.0,24.0,6.0,0.8,108.2,92.7,52.7,44.7,18.9,20.9,36.0,31.3,39.0,30.6,52.1,44.1,35.8,31.0,37.9,26.1,68.2,1.2,10.0,R64,0.0,0,0.0
42,2008,USC,P10,32.0,21.0,11.0,0.656,108.2,89.4,53.5,44.5,22.0,20.0,31.2,34.4,38.2,27.4,51.9,43.9,38.4,30.4,28.0,34.9,67.6,3.6,6.0,R64,0.0,1,-1.0
43,2008,Arkansas,SEC,33.0,22.0,11.0,0.667,108.2,92.2,51.7,47.4,22.1,21.7,37.6,31.4,37.1,36.5,52.0,46.4,33.9,32.8,30.2,34.8,68.9,0.5,9.0,R32,1.0,0,1.0
44,2008,Oklahoma,B12,33.0,22.0,11.0,0.667,108.0,92.3,50.1,46.2,19.6,20.2,33.5,30.0,38.1,30.4,49.0,45.4,34.8,31.9,33.5,35.0,65.4,2.8,6.0,R32,1.0,1,0.0
45,2008,Villanova,BE,32.0,20.0,12.0,0.625,107.7,95.0,49.0,51.3,20.4,23.9,36.9,31.4,38.4,45.9,47.7,48.4,34.2,37.0,35.6,40.5,69.4,0.3,12.0,Sweet Sixteen,2.0,0,2.0
46,2008,Cornell,Ivy,26.0,21.0,5.0,0.808,107.5,103.7,56.1,48.6,20.0,20.6,28.9,30.9,34.2,35.2,53.3,45.7,40.9,36.2,35.0,33.7,69.8,-1.2,14.0,R64,0.0,0,0.0
47,2008,Kent St.,MAC,34.0,28.0,6.0,0.824,106.8,94.2,52.9,46.2,21.6,24.2,36.0,35.9,41.6,38.5,51.4,45.6,37.6,31.7,30.5,33.1,66.3,2.3,9.0,R64,0.0,0,0.0
